거래일,거래시간,지역,연료원,전력거래량(MWh)
2025-01-02,4,세종시,태양광,0
2025-01-02,5,세종시,태양광,0
2025-01-02,6,세종시,태양광,0
2025-01-02,7,세종시,태양광,0
2025-01-02,8,세종시,태양광,0.012756
2025-01-02,9,세종시,태양광,1.515093
2025-01-02,10,세종시,태양광,6.372081
2025-01-02,11,세종시,태양광,11.634538
2025-01-02,12,세종시,태양광,15.656068
2025-01-02,13,세종시,태양광,17.823592
2025-01-02,14,세종시,태양광,17.964892
2025-01-02,15,세종시,태양광,15.090381
2025-01-02,16,세종시,태양광,9.895884
2025-01-02,17,세종시,태양광,4.792283
